"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2010 GZ60)","2017-2116","480","5.4e-6","3.01","16.1","2.000","-0.80","-1.75","0","bK10G60Z"
"29075 (1950 DA)","2880-2880","1","1.2e-4","14.10","17.6","1.300","-1.42","-1.42","","a0029075"
"101955 Bennu (1999 RQ36)","2175-2199","78","3.7e-4","5.99","20.2","0.490","-1.71","-2.32","","a0101955"
"410777 (2009 FD)","2185-2198","7","1.6e-3","15.87","22.1","0.160","-1.78","-1.83","","a0410777"
"(2017 RH16)","2026-2117","49","8.5e-4","12.78","25.6","0.026","-2.59","-2.59","0","bK17R16H"
"(2010 AU118)","2020-2112","38","1.8e-8","25.22","16.2","1.900","-2.72","-3.14","0","bK10AB8U"
"(1979 XB)","2056-2113","2","7.4e-7","23.92","18.5","0.662","-2.82","-3.12","0","bJ79X00B"
"(2007 FT3)","2019-2116","165","1.5e-6","17.06","20.0","0.340","-2.82","-3.17","0","bK07F03T"
"99942 Apophis (2004 MN4)","2060-2105","12","8.9e-6","5.85","19.1","0.370","-2.83","-2.93","0","a0099942"
"(2000 SG344)","2069-2113","101","2.6e-3","1.36","24.8","0.037","-2.86","-3.23","0","bK00SY4G"
"(2009 JF1)","2022-2022","1","2.6e-4","23.92","27.1","0.013","-3.28","-3.28","0","bK09J01F"
"(2010 RF12)","2095-2117","63","5.0e-2","5.10","28.4","0.007","-3.30","-3.32","0","bK10R12F"
"(2006 QV89)","2019-2040","8","5.0e-5","5.16","25.3","0.030","-3.31","-3.32","0","bK06Q89V"
"(2008 UV99)","2019-2110","32","1.5e-7","15.50","19.6","0.398","-3.36","-3.44","0","bK08U99V"
"(2001 CA21)","2020-2073","4","1.2e-8","30.71","18.5","0.678","-3.43","-3.73","0","bK01C21A"
"(2005 ED224)","2018-2064","6","3.0e-6","25.14","24.0","0.054","-3.50","-3.72","0","bK05EM4D"
"(2005 QK76)","2030-2107","9","6.8e-5","19.67","25.2","0.031","-3.55","-3.70","0","bK05Q76K"
"(2016 RD34)","2051-2093","35","6.2e-3","1.15","27.3","0.012","-3.60","-3.75","0","bK16R34D"
"(2008 JL3)","2024-2116","28","9.8e-5","8.41","25.3","0.029","-3.61","-3.62","0","bK08J03L"
"(2015 ME131)","2018-2089","100","3.5e-8","19.75","19.2","0.499","-3.63","-4.13","0","bK15MD1E"
"(1994 GK)","2051-2067","5","6.9e-5","14.87","24.2","0.048","-3.65","-3.66","0","bJ94G00K"
"(2016 WN55)","2020-2114","77","1.2e-7","15.39","19.4","0.451","-3.67","-4.10","0","bK16W55N"
"(2016 NL56)","2023-2117","254","7.2e-7","15.20","20.6","0.264","-3.67","-4.51","0","bK16N56L"
